TOC/Third Party Description,Location Description,Location Code,TOC/Third Party Code,Current Business Name,Retail Channel,Whitelabel
ARRIVA CROSS COUNTRY,MANCHESTER RPI XC,4509,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,MANCHESTER TOC Handheld,3497,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,NEWCASTLE (XC) OTS,9390,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,NEWCASTLE (XC) RP,7720,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,PLYMOUTH TOC Handheld,3559,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,PLYMOUTH XC ONBOARD CATERING,4846,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,PRESTON TOC Handheld,3522,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,READING RPI XC,4541,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,READING TOC Handheld,3183,EH,ARRIVA CROSS COUNTRY,TOC Handheld,N/A
ARRIVA CROSS COUNTRY,READING XC ONBOARD CATERING,4843,EH,ARRIVA CROSS COUNTRY,TOC Other,N/A
ARRIVA CROSS COUNTRY,TRAINLINE B3.1 TOC TELESALE XC,3951,EH,ARRIVA CROSS COUNTRY,TOC Contact Centre,TOC
ARRIVA CROSS COUNTRY,TRAINLINE B4.1 TOC TELESALE XC,4883,EH,ARRIVA CROSS COUNTRY,TOC Contact Centre,TOC
ARRIVA CROSS COUNTRY,TRAINLINE E14.1 TOC INT XC,6377,EH,ARRIVA CROSS COUNTRY,TOC App,TOC
ARRIVA CROSS COUNTRY,TRAINLINE E5.1 TOC INT XC,3956,EH,ARRIVA CROSS COUNTRY,TOC Web,TOC
ARRIVA CROSS COUNTRY,TRAINLINE SEASONS SH,4642,EH,ARRIVA CROSS COUNTRY,TOC Web,TOC
ARRIVA CROSS COUNTRY,TRAINLINE SEASONS SHV,8102,EH,ARRIVA CROSS COUNTRY,TOC Web,TOC
ARRIVA CROSS COUNTRY,VIRGIN CHEQ REF,9439,EH,ARRIVA CROSS COUNTRY,TOC Other,N/A
ASSERTIS LTD,ASSERTIS CORP 1,6167,JD,ASSERTIS LTD,Third Party Corporate,N/A
ASSERTIS LTD,ASSERTIS FASTRAIL TICKETING,6319,JD,ASSERTIS LTD,Third Party Web,N/A
ASSERTIS LTD,ASSERTIS LTD,4837,JD,ASSERTIS LTD,Third Party Web,N/A
ASSERTIS LTD,ASSERTIS MYTRAINTICKET SME,6168,JD,ASSERTIS LTD,Third Party Web,N/A
ATOC FORCES RAILCARD HQ INPUT,ATOC FORCES RAILCARD HQ INPUT,177,AL,ATOC FORCES RAILCARD HQ INPUT,Other,N/A
ATOC LTD,RAILCARDS DIGITAL,6038,KR,ATOC LTD,Other,N/A
ATOC LTD,RAILCARDS PLASTIC,6037,KR,ATOC LTD,Other,N/A
ATOC LTD,TRAINLINE E7.1 TOC INT ATOC,3955,KR,ATOC LTD,Other,TOC
ATOMISED CO-OPERATIVE LTD,ATOMISED - 1 - DOMESTIC,5313,KP,ATOMISED CO-OPERATIVE LTD,Third Party Web,N/A
BRITRAIL COMMISSION HQ INPUT,BRITRAIL COMM HQ INPUT,236,AV,BRITRAIL COMMISSION HQ INPUT,Other,N/A
BRITRAIL COMMISSION HQ INPUT,INTL HQ I COMM - INTL RAIL,453,AV,BRITRAIL COMMISSION HQ INPUT,Other,N/A
BRITRAIL COMMISSION HQ INPUT,INTL HQ I COMM - RAIL EUR 4A,450,AV,BRITRAIL COMMISSION HQ INPUT,Other,N/A
BRITRAIL COMMISSION HQ INPUT,INTL HQ I COMM - RAIL EUR I,422,AV,BRITRAIL COMMISSION HQ INPUT,Other,N/A
BRITRAIL PASS HQ INPUT,BRITRAIL PASS HQ INPUT,171,AF,BRITRAIL PASS HQ INPUT,Other,N/A
BRITRAIL PASS HQ INPUT,INTL HQ I - INTL RAIL,420,AF,BRITRAIL PASS HQ INPUT,Other,N/A
BRITRAIL PASS HQ INPUT,INTL HQ I - RAIL EUROPE 4A,408,AF,BRITRAIL PASS HQ INPUT,Other,N/A
BRITRAIL PASS HQ INPUT,INTL HQ I - RAIL EUROPE INC,407,AF,BRITRAIL PASS HQ INPUT,Other,N/A
C2C,BARKING,7492,HT,C2C,Ticket Office,N/A
C2C,BARKING SST,6246,HT,C2C,TVM,N/A
C2C,BASILDON,7494,HT,C2C,Ticket Office,N/A
C2C,BASILDON SST,6247,HT,C2C,TVM,N/A
C2C,BENFLEET,7439,HT,C2C,Ticket Office,N/A
C2C,BENFLEET SST,6248,HT,C2C,TVM,N/A
C2C,C2C ATOS TELESALES,7405,HT,C2C,TOC Contact Centre,N/A
C2C,C2C ATOS WEBTIS,7396,HT,C2C,TOC Web,N/A
C2C,C2C PICO APP,6026,HT,C2C,TOC App,N/A
C2C,C2C PICO WEBTIS,4567,HT,C2C,TOC Web,N/A
C2C,CHAFFORD HND SST,6250,HT,C2C,TVM,N/A
C2C,CHAFFORD HUNDRED,7447,HT,C2C,Ticket Office,N/A
C2C,CHALKWELL,7469,HT,C2C,Ticket Office,N/A
C2C,CHALKWELL SST,6251,HT,C2C,TVM,N/A
C2C,CHEQUE REFUNDS LT&S TOU HT,216,HT,C2C,Ticket Office,N/A
C2C,DAGENHAM DCK SST,6255,HT,C2C,TVM,N/A
C2C,DAGENHAM DOCK,7440,HT,C2C,Ticket Office,N/A
C2C,EAST TILBURY,7471,HT,C2C,Ticket Office,N/A
C2C,EAST TILBURY SST,6256,HT,C2C,TVM,N/A
C2C,FENCHURCH ST TKT OFFICE,8926,HT,C2C,Ticket Office,N/A
C2C,FENCHURCH STREET LONDON,7490,HT,C2C,Ticket Office,N/A
C2C,FENCHURCH STREET SST,6726,HT,C2C,TVM,N/A
C2C,GRAYS,7443,HT,C2C,Ticket Office,N/A
C2C,GRAYS OTS,9166,HT,C2C,TOC Handheld,N/A
C2C,GRAYS SST,6257,HT,C2C,TVM,N/A
C2C,LAINDON,7445,HT,C2C,Ticket Office,N/A
C2C,LAINDON SST,6261,HT,C2C,TVM,N/A
C2C,LEIGH,5294,HT,C2C,Other,N/A
C2C,LEIGH ON SEA SST,6262,HT,C2C,TVM,N/A
C2C,LEIGH-ON-SEA,7446,HT,C2C,Ticket Office,N/A
C2C,LIMEHOUSE,7491,HT,C2C,Ticket Office,N/A
C2C,LIMEHOUSE SST,6412,HT,C2C,TVM,N/A
C2C,OCKENDON,7451,HT,C2C,Ticket Office,N/A
C2C,OCKENDON SST,7093,HT,C2C,TVM,N/A
C2C,PITSEA,7452,HT,C2C,Ticket Office,N/A
C2C,PITSEA SST,7094,HT,C2C,TVM,N/A
C2C,PURFLEET,7453,HT,C2C,Ticket Office,N/A
C2C,PURFLEET SST,7095,HT,C2C,TVM,N/A
C2C,RAINHAM (GREATER LONDON),7454,HT,C2C,Ticket Office,N/A
C2C,RAINHAM LONDON SST,7096,HT,C2C,TVM,N/A
C2C,SHOEBURYNESS,7455,HT,C2C,Ticket Office,N/A
C2C,SHOEBURYNESS SST,7097,HT,C2C,TVM,N/A
C2C,SOUTHEND CENTRAL,7456,HT,C2C,Ticket Office,N/A
C2C,Southend Central or Southend Victoria,411,HT,C2C,,N/A
C2C,SOUTHEND CENTRAL OTS,9158,HT,C2C,TOC Handheld,N/A
C2C,SOUTHEND CTL SST,7099,HT,C2C,TVM,N/A
C2C,SOUTHEND E SST,7100,HT,C2C,TVM,N/A
C2C,SOUTHEND EAST,7457,HT,C2C,Ticket Office,N/A
C2C,SOUTHEND STATION ACCOUNTING,6100,HT,C2C,Ticket Office,N/A
C2C,STANFORD LE HOPE SST,7101,HT,C2C,TVM,N/A
C2C,STANFORD-LE-HOPE,7458,HT,C2C,Ticket Office,N/A
C2C,THORPE BAY,7460,HT,C2C,Ticket Office,N/A
C2C,THORPE BAY SST,7102,HT,C2C,TVM,N/A
C2C,TILBURY TOWN,7462,HT,C2C,Ticket Office,N/A
C2C,TILBURY TOWN SST,7103,HT,C2C,TVM,N/A
C2C,UPMINSTER,7464,HT,C2C,Ticket Office,N/A
C2C,UPMINSTER SST,7485,HT,C2C,TVM,N/A
C2C,WEST HORNDON,7466,HT,C2C,Ticket Office,N/A
C2C,WEST HORNDON SST,7502,HT,C2C,TVM,N/A
C2C,WESTCLIFF,7476,HT,C2C,Ticket Office,N/A
C2C,WESTCLIFF SST,7505,HT,C2C,TVM,N/A
CALMAC FERRIES,CALMAC FERRIES LTD,5980,KN,CALMAC FERRIES,Other,N/A
CHARLES NOVACROFT DIRECT LTD,RAILCARDS ONLINE NOVACROFT,9923,JL,CHARLES NOVACROFT DIRECT LTD,Other,N/A
COMMUTERCLUB LTD,COMMUTERCLUB LTD 1,8444,KK,COMMUTERCLUB LTD,Third Party Web,N/A
COMMUTERCLUB LTD,COMMUTERCLUB LTD 2,8446,KK,COMMUTERCLUB LTD,Third Party Web,N/A
COMMUTERCLUB LTD,COMMUTERCLUB LTD 3,8447,KK,COMMUTERCLUB LTD,Third Party Web,N/A
CTRIP COM HONG KONG LIMITED,CTRIP COM (HONG KONG) LTD 1,8454,KL,CTRIP COM HONG KONG LIMITED,Third Party Web,N/A
CTRIP COM HONG KONG LIMITED,CTRIP COM (HONG KONG) LTD 2,8455,KL,CTRIP COM HONG KONG LIMITED,International,N/A
CTRIP COM HONG KONG LIMITED,CTRIP COM (HONG KONG) LTD 3,8456,KL,CTRIP COM HONG KONG LIMITED,Third Party Web,N/A
CTRIP COM HONG KONG LIMITED,CTRIP COM (HONG KONG) LTD 4,8457,KL,CTRIP COM HONG KONG LIMITED,International,N/A
DATAFLEXNET,DATAFLEXNET,4786,KO,DATAFLEXNET,Third Party Web,N/A
DATAFLEXNET,DATAFLEXNET 1,4788,KO,DATAFLEXNET,Third Party Web,N/A
DUTY TRAVEL (RSTL) HQ INPUT,DUTY TRAVEL (RSTL) HQ INPUT,198,AM,DUTY TRAVEL (RSTL) HQ INPUT,Other,N/A
EAST MIDLANDS RAILWAY,ALFRETON,1805,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,ALFRETON SST,4544,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,ALSAGER SMART KIOSK SST,1982,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,AMBERGATE,1678,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,AMBERGATE SST,7986,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,ASLOCKTON SMART KIOSK SST,5045,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,ATTENBOROUGH,1624,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,ATTENBOROUGH SST,7638,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BARROW-UPON-SOAR SST,8124,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BEESTON,1625,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,BEESTON SST,4392,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BELPER,1679,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,BELPER SST,4395,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,Bingham,6235,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,BINGHAM SMART KIOSK SST,6584,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BLYTHE BRIDGE SMART KIOSK SST,2910,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BOSTON,6216,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,BOSTON OTS,1834,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,BOSTON SST,4398,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BULWELL,1865,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,BULWELL SST,8106,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BURTON JOYCE SMART KIOSK SST,6031,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BURTON ON TRENT SST,1487,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,BURTON-ON-TRENT,1658,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,CARLTON SMART KIOSK SST,6102,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,CHESTERFIELD,6615,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,CHESTERFIELD SST,9388,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,CORBY,1847,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,CORBY SST,4419,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,CRESWELL SST,8121,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,CROMFORD,1822,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,CROMFORD SST,7988,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,DERBY,1823,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,DERBY ASSISTED TRAVEL,1046,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,DERBY CSC,4898,HI,EAST MIDLANDS RAILWAY,TOC Contact Centre,N/A
EAST MIDLANDS RAILWAY,DERBY OTS,3716,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,DERBY SMART KIOSK SST,8636,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,DERBY SST,1985,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,Duffield,1691,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,DUFFIELD SST,7636,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,EAST MIDLAND TRAINS SMARTCARDS,6471,HI,EAST MIDLANDS RAILWAY,TOC Contact Centre,N/A
EAST MIDLANDS RAILWAY,EAST MIDLANDS PARKWAY,1901,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,EAST MIDLANDS PARKWAY SST,4399,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,EAST MIDLANDS RP,9853,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,EAST MIDLANDS TRAINS TELESALES,4803,HI,EAST MIDLANDS RAILWAY,TOC Contact Centre,N/A
EAST MIDLANDS RAILWAY,EAST MIDS CHEQUE REFUNDS,1824,HI,EAST MIDLANDS RAILWAY,TOC Other,N/A
EAST MIDLANDS RAILWAY,EAST MIDS HQ INPUT,1200,HI,EAST MIDLANDS RAILWAY,TOC Other,N/A
EAST MIDLANDS RAILWAY,EMT CORPORATE SALES,8248,HI,EAST MIDLANDS RAILWAY,TOC Corporate,N/A
EAST MIDLANDS RAILWAY,EMT ONLINE RAILCARDS,6033,HI,EAST MIDLANDS RAILWAY,TOC Web,N/A
EAST MIDLANDS RAILWAY,GAINSBOROUGH LR SMART K SST,6607,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,HECKINGTON SMART KIOSK SST,6609,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,HINCKLEY,1870,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,HINCKLEY SMART KIOSK SST,M043,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,HINCKLEY SST,4792,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,HUCKNALL SST,8108,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,HYKEHAM SMART KIOSK SST,6610,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,Ilkeston,7783,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,ILKESTON SST,7552,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,KETTERING,1857,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,KETTERING DEPOT OTS,8659,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,KETTERING SST,3302,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,KIDSGROVE,1229,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,KIDSGROVE SST,4795,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,KIRKBY IN ASHFIELD,1867,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,KIRKBY IN ASHFIELD SST,8110,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LANGLEY MILL SMART KIOSK SST,6617,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LANGWITH-WHALEY THORNS SST,8118,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LEEDS UNI (EMT) SST,6001,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LEICESTER,1947,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,LEICESTER (EMT) OTS,9604,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,LEICESTER GATES,7265,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,LEICESTER PAC,3939,HI,EAST MIDLANDS RAILWAY,TOC Other,N/A
EAST MIDLANDS RAILWAY,LEICESTER SST,1987,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LINCOLN,6340,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,LINCOLN GATES,7198,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,LINCOLN OTS,9607,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,LINCOLN SST,1488,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LONG EATON,1829,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,LONG EATON SST,3781,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LONGTON SMART KIOSK SST,2906,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LOUGHBOROUGH,1897,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,LOUGHBOROUGH GATES,7267,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,LOUGHBOROUGH SST,1158,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,LOWDHAM SMART KIOSK SST,6618,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MANCHESTER UNI (EMT) SST,7415,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MANSFIELD,1727,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,MANSFIELD SST,4403,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MANSFIELD WOODHOUSE,1728,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,MANSFIELD WOODHOUSE SST,8113,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MARKET HARBOROUGH,1909,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,MARKET HARBOROUGH SST,3303,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MARKET RASEN SMART KIOSK SST,6619,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MATLOCK,1581,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,MATLOCK BATH,1582,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,MATLOCK BATH SST,7989,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MATLOCK SST,4546,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,MELTON,7221,HI,EAST MIDLANDS RAILWAY,Other,N/A
EAST MIDLANDS RAILWAY,MELTON MOWBRAY,1851,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,MELTON MOWBRAY SST,4872,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,METHERINGHAM SMART KIOSK SST,6620,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,NARBOROUGH,1881,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,NETHERFIELD SMART KIOSK SST,6621,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,NEWARK CASTLE,6498,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,NEWARK CASTLE SST,4404,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,NEWSTEAD SST,8109,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,NORWICH (EMT) OTS,7827,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,NORWICH UNI E ANG (EMT) SST,9254,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,NOTTINGHAM,1826,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,NOTTINGHAM (LOCAL ROUTES) OTS,3417,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,NOTTINGHAM (LONDON ROUTE) OTS,3415,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,NOTTINGHAM RP,3687,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,NOTTINGHAM SST,1983,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,OAKHAM,1904,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,RADCLIFFE SMART KIOSK SST,6737,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,RAUCEBY SMART KIOSK SST,6738,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,RUSKINGTON SMART KIOSK SST,6739,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,SAXILBY SMART KIOSK SST,6740,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,SHEFFIELD,6691,HI,EAST MIDLANDS RAILWAY,Ticket Office,N/A
EAST MIDLANDS RAILWAY,SHEFFIELD (EMT) OTS,3466,HI,EAST MIDLANDS RAILWAY,TOC Handheld,N/A
EAST MIDLANDS RAILWAY,SHEFFIELD (EMT) SST,9387,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,SHIREBROOK SST,8116,HI,EAST MIDLANDS RAILWAY,TVM,N/A
EAST MIDLANDS RAILWAY,SILEBY,1902,HI,EAST MIDLANDS RAILWAY,,N/A
EAST MIDLANDS RAILWAY,SILEBY SST,8127,HI,EAST MIDLANDS RAILWAY,TVM,N/A
