SFO,Station name,National Location Code (NLC),"Three Letter Code
(TLC)",Postcode
Southeastern,Sydenham Hill,5085,SYH,SE21 7ND
Southeastern,Victoria (National Rail Station) 1-8,#N/A,#N/A,#N/A
Southeastern,Waterloo East,#N/A,#N/A,#N/A
Southeastern,Welling,5128,WLI,DA16 3DN
Southeastern,West Dulwich,5086,WDU,SE21 8HN
Southeastern,West Wickham,5054,WWI,BR4 0EH
Southeastern,Westcombe Park,5151,WCB,SE3 7EQ
Southeastern,Woolwich Arsenal (National Rail station),#N/A,#N/A,#N/A
Southeastern,Woolwich Dockyard,5153,WWD,SE18 5JY
West Midlands Trains,Euston (National Rail station),#N/A,#N/A,#N/A
West Midlands Trains,Watford Junction,1402,WFJ,WD17 1EU
